path,N,method,duration,objective,fairness,min,max,mean,std
../instances/100/test/instance58_nreq100_nveh2_gamma91.txt,100,GA,11013.5,3472.48,jain,12,79,45.5,47.3762
../instances/100/test/instance52_nreq100_nveh2_gamma89.txt,100,DC ,0.932554,3545.89,jain,1,88,44.5,61.5183
../instances/100/test/instance52_nreq100_nveh2_gamma89.txt,100,RC,1.5754,4143.03,jain,1,88,44.5,61.5183
../instances/100/test/instance52_nreq100_nveh2_gamma89.txt,100,BS,13.6518,3509.04,jain,44,45,44.5,0.707107
../instances/100/test/instance52_nreq100_nveh2_gamma89.txt,100,GA,12391,2941.3,jain,6,83,44.5,54.4472
../instances/100/test/instance41_nreq100_nveh2_gamma86.txt,100,DC ,0.811675,3520.29,maxmin,1,85,43,59.397
../instances/100/test/instance41_nreq100_nveh2_gamma86.txt,100,RC,0.996274,3650.74,maxmin,1,85,43,59.397
../instances/100/test/instance41_nreq100_nveh2_gamma86.txt,100,BS,12.8278,3352.42,maxmin,43,43,43,0
../instances/100/test/instance41_nreq100_nveh2_gamma86.txt,100,GA,8562.38,2722.69,maxmin,16,70,43,38.1838
../instances/100/test/instance58_nreq100_nveh2_gamma91.txt,100,DC ,1.03359,4379.59,maxmin,1,90,45.5,62.9325
../instances/100/test/instance58_nreq100_nveh2_gamma91.txt,100,RC,1.30847,4623.81,maxmin,1,90,45.5,62.9325
../instances/100/test/instance58_nreq100_nveh2_gamma91.txt,100,BS,21.4815,4024.43,maxmin,45,46,45.5,0.707107
../instances/100/test/instance58_nreq100_nveh2_gamma91.txt,100,GA,8692.38,3404.32,maxmin,24,67,45.5,30.4056
../instances/100/test/instance56_nreq100_nveh2_gamma89.txt,100,DC ,0.984945,3797.07,maxmin,1,88,44.5,61.5183
../instances/100/test/instance56_nreq100_nveh2_gamma89.txt,100,RC,1.23907,4078.36,maxmin,1,88,44.5,61.5183
../instances/100/test/instance56_nreq100_nveh2_gamma89.txt,100,BS,21.515,3527.23,maxmin,44,45,44.5,0.707107
../instances/100/test/instance56_nreq100_nveh2_gamma89.txt,100,GA,10872.3,2931.39,maxmin,33,56,44.5,16.2635
../instances/100/test/instance39_nreq100_nveh2_gamma92.txt,100,DC ,1.01281,4015.58,maxmin,2,90,46,62.2254
../instances/100/test/instance39_nreq100_nveh2_gamma92.txt,100,RC,1.29577,4336.11,maxmin,2,90,46,62.2254
../instances/100/test/instance39_nreq100_nveh2_gamma92.txt,100,BS,21.9059,3713.67,maxmin,46,46,46,0
../instances/100/test/instance39_nreq100_nveh2_gamma92.txt,100,GA,11380.7,3438.6,maxmin,4,89,46.5,60.1041
../instances/100/test/instance52_nreq100_nveh2_gamma89.txt,100,DC ,0.964394,3554.95,maxmin,1,88,44.5,61.5183
../instances/100/test/instance52_nreq100_nveh2_gamma89.txt,100,RC,1.22483,3864.7,maxmin,1,88,44.5,61.5183
../instances/100/test/instance52_nreq100_nveh2_gamma89.txt,100,BS,19.9206,3510.39,maxmin,44,45,44.5,0.707107
../instances/100/test/instance52_nreq100_nveh2_gamma89.txt,100,GA,13622.3,3038.3,maxmin,7,82,44.5,53.033
../instances/100/test/instance39_nreq100_nveh2_gamma92.txt,100,DC ,0.899005,4012.2,gini,2,90,46,62.2254
../instances/100/test/instance39_nreq100_nveh2_gamma92.txt,100,RC,1.16593,4446.04,gini,2,90,46,62.2254
../instances/100/test/instance39_nreq100_nveh2_gamma92.txt,100,BS,14.2647,3711.9,gini,46,46,46,0
../instances/100/test/instance39_nreq100_nveh2_gamma92.txt,100,GA,8085.25,3311.36,gini,43,49,46,4.24264
../instances/100/test/instance58_nreq100_nveh2_gamma91.txt,100,DC ,5.23228,4378.33,gini,1,90,45.5,62.9325
../instances/100/test/instance58_nreq100_nveh2_gamma91.txt,100,RC,1.29011,4330.63,gini,1,90,45.5,62.9325
../instances/100/test/instance58_nreq100_nveh2_gamma91.txt,100,BS,21.3897,4023.88,gini,45,46,45.5,0.707107
../instances/100/test/instance58_nreq100_nveh2_gamma91.txt,100,GA,8767.81,3460.81,gini,45,46,45.5,0.707107
../instances/100/test/instance56_nreq100_nveh2_gamma89.txt,100,DC ,0.976554,3794.32,gini,1,88,44.5,61.5183
../instances/100/test/instance56_nreq100_nveh2_gamma89.txt,100,RC,1.15592,4431.31,gini,1,88,44.5,61.5183
../instances/100/test/instance56_nreq100_nveh2_gamma89.txt,100,BS,21.3926,3525.07,gini,44,45,44.5,0.707107
../instances/100/test/instance56_nreq100_nveh2_gamma89.txt,100,GA,9014.28,3046.7,gini,42,47,44.5,3.53553
../instances/100/test/instance41_nreq100_nveh2_gamma86.txt,100,DC ,0.818855,3518.33,gini,1,85,43,59.397
../instances/100/test/instance41_nreq100_nveh2_gamma86.txt,100,RC,1.00988,3761.92,gini,1,85,43,59.397
../instances/100/test/instance41_nreq100_nveh2_gamma86.txt,100,BS,14.7462,3350.19,gini,43,43,43,0
../instances/100/test/instance41_nreq100_nveh2_gamma86.txt,100,GA,10048.8,2741.43,gini,8,78,43,49.4975
../instances/100/test/instance52_nreq100_nveh2_gamma89.txt,100,DC ,0.844205,3554.27,gini,1,88,44.5,61.5183
