path,N,k1,k2,beam_width,duration,objective
"../instances/50/train/instance14_nreq50_nveh2_gamma45.txt",50,10,0,5,2455.02,1224.39
"../instances/50/train/instance14_nreq50_nveh2_gamma45.txt",50,10,1,5,2458.28,1203.45
"../instances/50/train/instance14_nreq50_nveh2_gamma45.txt",50,10,1,10,4005.89,1164.02
"../instances/50/train/instance14_nreq50_nveh2_gamma45.txt",50,15,1,5,4059.57,1211
"../instances/50/train/instance14_nreq50_nveh2_gamma45.txt",50,15,2,5,3636.41,1166.07
"../instances/50/train/instance14_nreq50_nveh2_gamma45.txt",50,10,0,10,4301.15,1247.58
"../instances/50/train/instance14_nreq50_nveh2_gamma45.txt",50,15,0,5,4324.47,1209.14
"../instances/50/train/instance14_nreq50_nveh2_gamma45.txt",50,10,2,10,4480.19,1182.42
"../instances/50/train/instance14_nreq50_nveh2_gamma45.txt",50,15,2,10,9085.63,1124.47
"../instances/50/train/instance14_nreq50_nveh2_gamma45.txt",50,15,0,10,10844.1,1268.33
"../instances/50/train/instance14_nreq50_nveh2_gamma45.txt",50,15,1,10,11254.5,1236.2
"../instances/100/train/instance21_nreq100_nveh2_gamma88.txt",100,5,2,5,1654.08,3381.64
"../instances/100/train/instance21_nreq100_nveh2_gamma88.txt",100,5,1,5,1819.36,3400.93
"../instances/100/train/instance21_nreq100_nveh2_gamma88.txt",100,5,0,5,1882.29,3495.63
"../instances/100/train/instance21_nreq100_nveh2_gamma88.txt",100,5,0,10,2781.74,3440.24
"../instances/100/train/instance21_nreq100_nveh2_gamma88.txt",100,5,1,10,3020.51,3407.86
"../instances/100/train/instance21_nreq100_nveh2_gamma88.txt",100,5,2,10,3108.82,3232.96
"../instances/100/train/instance21_nreq100_nveh2_gamma88.txt",100,10,0,5,6032.76,3307
"../instances/100/train/instance21_nreq100_nveh2_gamma88.txt",100,10,1,5,7428.81,3385.44
"../instances/100/train/instance21_nreq100_nveh2_gamma88.txt",100,10,2,5,8574.92,3318.62
"../instances/100/train/instance21_nreq100_nveh2_gamma88.txt",100,10,0,10,12121.2,3320.72
"../instances/100/train/instance21_nreq100_nveh2_gamma88.txt",100,10,2,10,12235.9,3287.48
"../instances/100/train/instance21_nreq100_nveh2_gamma88.txt",100,10,1,10,12772.7,3209.6
"../instances/100/train/instance21_nreq100_nveh2_gamma88.txt",100,15,0,5,13589.1,3281.36
"../instances/100/train/instance21_nreq100_nveh2_gamma88.txt",100,15,2,5,12049.8,3174.44
"../instances/100/train/instance21_nreq100_nveh2_gamma88.txt",100,15,1,5,17080.9,3146.78
"../instances/100/train/instance21_nreq100_nveh2_gamma88.txt",100,15,1,10,24733.1,3241.02
"../instances/100/train/instance21_nreq100_nveh2_gamma88.txt",100,15,0,10,26099.5,3222.58
"../instances/100/train/instance21_nreq100_nveh2_gamma88.txt",100,15,2,10,24327.5,3085.55
"../instances/100/train/instance5_nreq100_nveh2_gamma88.txt",100,5,1,5,1366.81,3306.59
"../instances/100/train/instance5_nreq100_nveh2_gamma88.txt",100,5,0,5,1536.73,3501.9
"../instances/100/train/instance5_nreq100_nveh2_gamma88.txt",100,5,2,5,1661,3337.73
"../instances/100/train/instance5_nreq100_nveh2_gamma88.txt",100,5,1,10,2750.86,3188.28
"../instances/100/train/instance5_nreq100_nveh2_gamma88.txt",100,5,2,10,3012.08,3226.49
"../instances/100/train/instance5_nreq100_nveh2_gamma88.txt",100,5,0,10,3869.56,3170.48
"../instances/100/train/instance5_nreq100_nveh2_gamma88.txt",100,10,0,5,5381.22,3405.54
"../instances/100/train/instance5_nreq100_nveh2_gamma88.txt",100,10,1,5,6408.78,3320.87
"../instances/100/train/instance5_nreq100_nveh2_gamma88.txt",100,10,2,5,7300.37,3052.43
"../instances/100/train/instance5_nreq100_nveh2_gamma88.txt",100,10,0,10,11621.1,3099.55
"../instances/100/train/instance5_nreq100_nveh2_gamma88.txt",100,15,0,5,12106.4,3395.97
"../instances/100/train/instance5_nreq100_nveh2_gamma88.txt",100,10,1,10,12993.5,3018.96
"../instances/100/train/instance5_nreq100_nveh2_gamma88.txt",100,15,1,5,13279.7,3115.74
"../instances/100/train/instance5_nreq100_nveh2_gamma88.txt",100,10,2,10,13957.3,3025.8
"../instances/100/train/instance5_nreq100_nveh2_gamma88.txt",100,15,2,5,16608,2999.51
"../instances/100/train/instance5_nreq100_nveh2_gamma88.txt",100,15,1,10,25150.9,3039.06
"../instances/100/train/instance5_nreq100_nveh2_gamma88.txt",100,15,2,10,25368.4,3023.27
"../instances/100/train/instance5_nreq100_nveh2_gamma88.txt",100,15,0,10,27758.6,2957.51
"../instances/100/train/instance19_nreq100_nveh2_gamma86.txt",100,5,0,5,1772.86,3484.83
"../instances/100/train/instance19_nreq100_nveh2_gamma86.txt",100,5,2,5,1791.78,3491.6
"../instances/100/train/instance19_nreq100_nveh2_gamma86.txt",100,5,1,5,1903.66,3409.99
"../instances/100/train/instance19_nreq100_nveh2_gamma86.txt",100,5,0,10,2752.8,3428.66
"../instances/100/train/instance19_nreq100_nveh2_gamma86.txt",100,5,2,10,3029.82,3373.16
"../instances/100/train/instance19_nreq100_nveh2_gamma86.txt",100,5,1,10,3264.08,3356.52
