path,N,k1,k2,beam_width,duration,objective
"../instances/50/train/instance17_nreq50_nveh2_gamma45.txt",50,5,0,10,1123.97,1335.1
"../instances/50/train/instance17_nreq50_nveh2_gamma45.txt",50,10,2,5,2388.38,1327.43
"../instances/50/train/instance17_nreq50_nveh2_gamma45.txt",50,10,0,5,2422.95,1381.98
"../instances/50/train/instance17_nreq50_nveh2_gamma45.txt",50,10,1,5,2456.07,1340.29
"../instances/50/train/instance17_nreq50_nveh2_gamma45.txt",50,10,2,10,3469.73,1244.83
"../instances/50/train/instance17_nreq50_nveh2_gamma45.txt",50,15,2,5,3435.3,1163.42
"../instances/50/train/instance17_nreq50_nveh2_gamma45.txt",50,15,1,5,4341.95,1225.71
"../instances/50/train/instance17_nreq50_nveh2_gamma45.txt",50,10,0,10,4381.57,1307.51
"../instances/50/train/instance17_nreq50_nveh2_gamma45.txt",50,10,1,10,4750.43,1249.42
"../instances/50/train/instance17_nreq50_nveh2_gamma45.txt",50,15,0,5,5379.19,1262.33
"../instances/50/train/instance17_nreq50_nveh2_gamma45.txt",50,15,1,10,7857.94,1207.22
"../instances/50/train/instance17_nreq50_nveh2_gamma45.txt",50,15,2,10,8159.39,1243.24
"../instances/50/train/instance17_nreq50_nveh2_gamma45.txt",50,15,0,10,11371.4,1301.94
"../instances/100/train/instance15_nreq100_nveh2_gamma89.txt",100,5,1,5,1716.12,3511.41
"../instances/100/train/instance15_nreq100_nveh2_gamma89.txt",100,5,0,5,1728.49,3760.17
"../instances/100/train/instance15_nreq100_nveh2_gamma89.txt",100,5,2,5,1729.43,3526.19
"../instances/100/train/instance15_nreq100_nveh2_gamma89.txt",100,5,1,10,3271.12,3449.92
"../instances/100/train/instance15_nreq100_nveh2_gamma89.txt",100,5,2,10,3316.64,3434.47
"../instances/100/train/instance15_nreq100_nveh2_gamma89.txt",100,5,0,10,3328.91,3562.71
"../instances/100/train/instance15_nreq100_nveh2_gamma89.txt",100,10,1,5,6108.56,3375.86
"../instances/100/train/instance15_nreq100_nveh2_gamma89.txt",100,10,2,5,7423.57,3342.1
"../instances/100/train/instance15_nreq100_nveh2_gamma89.txt",100,10,0,5,8218.75,3335.75
"../instances/100/train/instance15_nreq100_nveh2_gamma89.txt",100,10,0,10,11092.5,3310.3
"../instances/100/train/instance15_nreq100_nveh2_gamma89.txt",100,10,2,10,12519.1,3370.59
"../instances/100/train/instance15_nreq100_nveh2_gamma89.txt",100,10,1,10,12656.7,3198.89
"../instances/100/train/instance15_nreq100_nveh2_gamma89.txt",100,15,1,5,13191.5,3377.59
"../instances/100/train/instance15_nreq100_nveh2_gamma89.txt",100,15,0,5,13486.8,3497.06
"../instances/100/train/instance15_nreq100_nveh2_gamma89.txt",100,15,2,5,14617.2,3384.04
"../instances/100/train/instance15_nreq100_nveh2_gamma89.txt",100,15,2,10,25637.7,3200.98
"../instances/100/train/instance15_nreq100_nveh2_gamma89.txt",100,15,0,10,33910.8,3263.13
"../instances/100/train/instance15_nreq100_nveh2_gamma89.txt",100,15,1,10,34375.6,3383.94
"../instances/100/train/instance27_nreq100_nveh2_gamma90.txt",100,5,2,5,2065.05,3318.37
"../instances/100/train/instance27_nreq100_nveh2_gamma90.txt",100,5,1,5,2103.35,3391.43
"../instances/100/train/instance27_nreq100_nveh2_gamma90.txt",100,5,0,5,2396.22,3276.49
"../instances/100/train/instance27_nreq100_nveh2_gamma90.txt",100,5,1,10,3733.58,3328.92
"../instances/100/train/instance27_nreq100_nveh2_gamma90.txt",100,5,2,10,3796.32,3304.8
"../instances/100/train/instance27_nreq100_nveh2_gamma90.txt",100,5,0,10,4117.9,3314.19
"../instances/100/train/instance27_nreq100_nveh2_gamma90.txt",100,10,2,5,7330.72,3170.82
"../instances/100/train/instance27_nreq100_nveh2_gamma90.txt",100,10,1,5,8817.66,3151.66
"../instances/100/train/instance27_nreq100_nveh2_gamma90.txt",100,10,0,5,10303.9,3118.32
"../instances/100/train/instance27_nreq100_nveh2_gamma90.txt",100,10,0,10,14085,3169.67
"../instances/100/train/instance27_nreq100_nveh2_gamma90.txt",100,15,2,5,12876.9,3111.22
"../instances/100/train/instance27_nreq100_nveh2_gamma90.txt",100,10,1,10,16420.5,3176.35
"../instances/100/train/instance27_nreq100_nveh2_gamma90.txt",100,10,2,10,16872.9,3133.24
"../instances/100/train/instance27_nreq100_nveh2_gamma90.txt",100,15,1,5,19012.3,3132.41
"../instances/100/train/instance27_nreq100_nveh2_gamma90.txt",100,15,0,5,20400,3103.2
"../instances/100/train/instance27_nreq100_nveh2_gamma90.txt",100,15,0,10,27418,3064.92
"../instances/100/train/instance27_nreq100_nveh2_gamma90.txt",100,15,1,10,27780.1,3043.55
"../instances/100/train/instance27_nreq100_nveh2_gamma90.txt",100,15,2,10,29613.4,3083.2
"../instances/100/train/instance30_nreq100_nveh2_gamma89.txt",100,5,1,5,1889.51,3170.06
"../instances/100/train/instance30_nreq100_nveh2_gamma89.txt",100,5,2,5,1934.81,3195.9
"../instances/100/train/instance30_nreq100_nveh2_gamma89.txt",100,5,0,5,2184.48,3181.51
"../instances/100/train/instance30_nreq100_nveh2_gamma89.txt",100,5,2,10,3623.2,3180.91
"../instances/100/train/instance30_nreq100_nveh2_gamma89.txt",100,5,1,10,3685.46,3087.6
"../instances/100/train/instance30_nreq100_nveh2_gamma89.txt",100,5,0,10,3748.13,3227.05
"../instances/100/train/instance30_nreq100_nveh2_gamma89.txt",100,10,1,5,6838.5,3001.31
"../instances/100/train/instance30_nreq100_nveh2_gamma89.txt",100,10,0,5,7153.86,3047.48
"../instances/100/train/instance30_nreq100_nveh2_gamma89.txt",100,10,2,5,8457.46,2923.07
"../instances/100/train/instance30_nreq100_nveh2_gamma89.txt",100,10,1,10,12850,3093.79
"../instances/100/train/instance30_nreq100_nveh2_gamma89.txt",100,10,2,10,13580.4,2896.55
"../instances/100/train/instance30_nreq100_nveh2_gamma89.txt",100,10,0,10,14226.2,3395.33
"../instances/100/train/instance30_nreq100_nveh2_gamma89.txt",100,15,2,5,12998.6,2883.51
"../instances/100/train/instance30_nreq100_nveh2_gamma89.txt",100,15,0,5,15089.4,3046.48
"../instances/100/train/instance30_nreq100_nveh2_gamma89.txt",100,15,1,5,17311.8,2899.86
"../instances/100/train/instance30_nreq100_nveh2_gamma89.txt",100,15,1,10,27509.6,2908.3
"../instances/100/train/instance30_nreq100_nveh2_gamma89.txt",100,15,2,10,25631.5,2856.32
"../instances/100/train/instance30_nreq100_nveh2_gamma89.txt",100,15,0,10,29360.4,3060.21
"../instances/100/train/instance1_nreq100_nveh2_gamma89.txt",100,5,1,5,1795.44,3542.02
"../instances/100/train/instance1_nreq100_nveh2_gamma89.txt",100,5,2,5,1919.4,3483.72
"../instances/100/train/instance1_nreq100_nveh2_gamma89.txt",100,5,0,5,1922.93,3625.76
"../instances/100/train/instance1_nreq100_nveh2_gamma89.txt",100,5,0,10,2906.34,3645.05
"../instances/100/train/instance1_nreq100_nveh2_gamma89.txt",100,5,2,10,3492.5,3279.79
"../instances/100/train/instance1_nreq100_nveh2_gamma89.txt",100,5,1,10,3930.94,3427.48
"../instances/100/train/instance1_nreq100_nveh2_gamma89.txt",100,10,2,5,7825.5,3445
"../instances/100/train/instance1_nreq100_nveh2_gamma89.txt",100,10,1,5,8156.24,3501.61
"../instances/100/train/instance1_nreq100_nveh2_gamma89.txt",100,10,0,5,8257.08,3625.76
"../instances/100/train/instance1_nreq100_nveh2_gamma89.txt",100,10,1,10,12326.6,3460.51
"../instances/100/train/instance1_nreq100_nveh2_gamma89.txt",100,10,0,10,12697.7,3388.87
"../instances/100/train/instance1_nreq100_nveh2_gamma89.txt",100,10,2,10,12964.3,3293.02
"../instances/100/train/instance1_nreq100_nveh2_gamma89.txt",100,15,0,5,13628.9,3540.11
"../instances/100/train/instance1_nreq100_nveh2_gamma89.txt",100,15,2,5,12596.3,3260.06
"../instances/100/train/instance1_nreq100_nveh2_gamma89.txt",100,15,1,5,15909.1,3468.72
"../instances/100/train/instance1_nreq100_nveh2_gamma89.txt",100,15,0,10,23955.9,3263.74
"../instances/100/train/instance1_nreq100_nveh2_gamma89.txt",100,15,2,10,23666.5,3208.4
"../instances/100/train/instance1_nreq100_nveh2_gamma89.txt",100,15,1,10,27537.3,3269.56
"../instances/100/train/instance19_nreq100_nveh2_gamma86.txt",100,5,2,5,1794.25,3586.27
"../instances/100/train/instance19_nreq100_nveh2_gamma86.txt",100,5,1,5,1830.62,3537.21
"../instances/100/train/instance19_nreq100_nveh2_gamma86.txt",100,5,0,5,1861.96,3520.36
"../instances/100/train/instance19_nreq100_nveh2_gamma86.txt",100,5,0,10,2746.25,3496.69
"../instances/100/train/instance19_nreq100_nveh2_gamma86.txt",100,5,1,10,3280.51,3284.63
"../instances/100/train/instance19_nreq100_nveh2_gamma86.txt",100,5,2,10,3453.33,3409.11
"../instances/100/train/instance19_nreq100_nveh2_gamma86.txt",100,10,2,5,5907.12,3341.24
"../instances/100/train/instance19_nreq100_nveh2_gamma86.txt",100,10,1,5,7351.04,3186.36
"../instances/100/train/instance19_nreq100_nveh2_gamma86.txt",100,10,0,5,8383.73,3406.15
