path,N,method,duration,objective
"../instances/100/test/instance53_nreq100_nveh2_gamma85.txt",100,GA,13899.9,3191.92
"../instances/100/test/instance42_nreq100_nveh2_gamma87.txt",100,DC,0.874178,4028.9
"../instances/100/test/instance42_nreq100_nveh2_gamma87.txt",100,RC,1.0813,4171.32
"../instances/100/test/instance42_nreq100_nveh2_gamma87.txt",100,BS,8.7316,3841.75
"../instances/100/test/instance42_nreq100_nveh2_gamma87.txt",100,VND,170.645,2562.88
"../instances/100/test/instance42_nreq100_nveh2_gamma87.txt",100,SA,58.9162,3968.01
"../instances/100/test/instance42_nreq100_nveh2_gamma87.txt",100,LN,47156.6,3261.37
"../instances/100/test/instance42_nreq100_nveh2_gamma87.txt",100,GA,11842.8,3224.25
"../instances/100/test/instance47_nreq100_nveh2_gamma90.txt",100,DC,0.984515,4264.4
"../instances/100/test/instance47_nreq100_nveh2_gamma90.txt",100,RC,1.25877,4506.57
"../instances/100/test/instance47_nreq100_nveh2_gamma90.txt",100,BS,11.0999,3965.37
"../instances/100/test/instance47_nreq100_nveh2_gamma90.txt",100,VND,138.651,2843.59
"../instances/100/test/instance47_nreq100_nveh2_gamma90.txt",100,SA,7.69239,4236.75
"../instances/100/test/instance47_nreq100_nveh2_gamma90.txt",100,LN,51442.6,3467.55
"../instances/100/test/instance47_nreq100_nveh2_gamma90.txt",100,GA,11654.7,3280.71
"../instances/100/test/instance41_nreq100_nveh2_gamma86.txt",100,DC,0.945986,3498.07
"../instances/100/test/instance41_nreq100_nveh2_gamma86.txt",100,RC,1.13401,3620.43
"../instances/100/test/instance41_nreq100_nveh2_gamma86.txt",100,BS,10.7809,3346.03
"../instances/100/test/instance41_nreq100_nveh2_gamma86.txt",100,VND,149.409,2210.18
"../instances/100/test/instance41_nreq100_nveh2_gamma86.txt",100,SA,45.2986,3497.44
"../instances/100/test/instance41_nreq100_nveh2_gamma86.txt",100,LN,54190,2623.22
"../instances/100/test/instance41_nreq100_nveh2_gamma86.txt",100,GA,11982.7,2826.58
"../instances/100/test/instance39_nreq100_nveh2_gamma92.txt",100,DC,1.14505,3983.53
"../instances/100/test/instance39_nreq100_nveh2_gamma92.txt",100,RC,1.16956,4310.63
"../instances/100/test/instance39_nreq100_nveh2_gamma92.txt",100,BS,12.6848,3580.85
"../instances/100/test/instance39_nreq100_nveh2_gamma92.txt",100,VND,179.278,2536.76
"../instances/100/test/instance39_nreq100_nveh2_gamma92.txt",100,SA,0.829347,3972.16
"../instances/100/test/instance39_nreq100_nveh2_gamma92.txt",100,LN,54170.5,3212
"../instances/100/test/instance39_nreq100_nveh2_gamma92.txt",100,GA,12897.3,3308.59
"../instances/100/test/instance31_nreq100_nveh2_gamma86.txt",100,DC,0.902257,4025.88
"../instances/100/test/instance31_nreq100_nveh2_gamma86.txt",100,RC,1.1171,4304.28
"../instances/100/test/instance31_nreq100_nveh2_gamma86.txt",100,BS,10.62,3402.25
"../instances/100/test/instance31_nreq100_nveh2_gamma86.txt",100,VND,146.463,2689.49
"../instances/100/test/instance31_nreq100_nveh2_gamma86.txt",100,SA,0.871587,4025.88
"../instances/100/test/instance31_nreq100_nveh2_gamma86.txt",100,LN,55371.6,3012.24
"../instances/100/test/instance31_nreq100_nveh2_gamma86.txt",100,GA,12133.3,3153.04
"../instances/100/test/instance38_nreq100_nveh2_gamma88.txt",100,DC,0.939266,3963.82
"../instances/100/test/instance38_nreq100_nveh2_gamma88.txt",100,RC,1.06795,4460.24
"../instances/100/test/instance38_nreq100_nveh2_gamma88.txt",100,BS,10.1203,3832.04
"../instances/100/test/instance38_nreq100_nveh2_gamma88.txt",100,VND,166.818,2522.04
"../instances/100/test/instance38_nreq100_nveh2_gamma88.txt",100,SA,1.09641,3952.77
"../instances/100/test/instance38_nreq100_nveh2_gamma88.txt",100,LN,55859.1,3142.73
"../instances/100/test/instance38_nreq100_nveh2_gamma88.txt",100,GA,11967.5,3346.34
"../instances/100/test/instance58_nreq100_nveh2_gamma91.txt",100,DC,0.898527,4360.99
"../instances/100/test/instance58_nreq100_nveh2_gamma91.txt",100,RC,1.21793,4901.13
"../instances/100/test/instance58_nreq100_nveh2_gamma91.txt",100,BS,8.43584,4035.4
"../instances/100/test/instance58_nreq100_nveh2_gamma91.txt",100,VND,235.271,2526.02
"../instances/100/test/instance58_nreq100_nveh2_gamma91.txt",100,SA,0.804188,4351.76
"../instances/100/test/instance58_nreq100_nveh2_gamma91.txt",100,LN,56152,3607.47
"../instances/100/test/instance58_nreq100_nveh2_gamma91.txt",100,GA,12787.7,3423.65
"../instances/100/test/instance52_nreq100_nveh2_gamma89.txt",100,DC,0.924307,3545.89
"../instances/100/test/instance52_nreq100_nveh2_gamma89.txt",100,RC,1.36019,4100.59
"../instances/100/test/instance52_nreq100_nveh2_gamma89.txt",100,BS,11.452,3491.51
"../instances/100/test/instance52_nreq100_nveh2_gamma89.txt",100,VND,133.829,2470.1
"../instances/100/test/instance52_nreq100_nveh2_gamma89.txt",100,SA,0.905967,3545.89
"../instances/100/test/instance52_nreq100_nveh2_gamma89.txt",100,LN,57959.3,3048.92
"../instances/100/test/instance52_nreq100_nveh2_gamma89.txt",100,GA,12191,3147.87
"../instances/100/test/instance60_nreq100_nveh2_gamma87.txt",100,DC,1.24149,3659.39
"../instances/100/test/instance60_nreq100_nveh2_gamma87.txt",100,RC,1.35724,4073.85
"../instances/100/test/instance60_nreq100_nveh2_gamma87.txt",100,BS,11.2561,3525.94
"../instances/100/test/instance60_nreq100_nveh2_gamma87.txt",100,VND,206.125,2380.67
"../instances/100/test/instance60_nreq100_nveh2_gamma87.txt",100,SA,1.72191,3654.32
"../instances/100/test/instance60_nreq100_nveh2_gamma87.txt",100,LN,55676,3095.77
