path,N,lamda,objective
/home/chris/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.15,2044.81
/home/chris/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.2,2279.9
/home/chris/Desktop/heuristics/instances/50/test/instance44_nreq50_nveh2_gamma41.txt,50,0.01,3590.87
/home/chris/Desktop/heuristics/instances/50/test/instance44_nreq50_nveh2_gamma41.txt,50,0.03,3348.76
/home/chris/Desktop/heuristics/instances/50/test/instance44_nreq50_nveh2_gamma41.txt,50,0.05,2847.47
/home/chris/Desktop/heuristics/instances/50/test/instance44_nreq50_nveh2_gamma41.txt,50,0.07,2597.28
/home/chris/Desktop/heuristics/instances/50/test/instance44_nreq50_nveh2_gamma41.txt,50,0.1,2366.07
/home/chris/Desktop/heuristics/instances/50/test/instance44_nreq50_nveh2_gamma41.txt,50,0.15,2094.77
/home/chris/Desktop/heuristics/instances/50/test/instance44_nreq50_nveh2_gamma41.txt,50,0.2,1954.57
/home/chris/Desktop/heuristics/instances/50/test/instance56_nreq50_nveh2_gamma43.txt,50,0.01,3780.93
/home/chris/Desktop/heuristics/instances/50/test/instance56_nreq50_nveh2_gamma43.txt,50,0.03,3233.85
/home/chris/Desktop/heuristics/instances/50/test/instance56_nreq50_nveh2_gamma43.txt,50,0.05,2847.79
/home/chris/Desktop/heuristics/instances/50/test/instance56_nreq50_nveh2_gamma43.txt,50,0.07,2576.3
/home/chris/Desktop/heuristics/instances/50/test/instance56_nreq50_nveh2_gamma43.txt,50,0.1,2331.57
/home/chris/Desktop/heuristics/instances/50/test/instance56_nreq50_nveh2_gamma43.txt,50,0.15,2410.63
/home/chris/Desktop/heuristics/instances/50/test/instance56_nreq50_nveh2_gamma43.txt,50,0.2,2153.05
/home/chris/Desktop/heuristics/instances/50/test/instance49_nreq50_nveh2_gamma44.txt,50,0.01,3486.58
/home/chris/Desktop/heuristics/instances/50/test/instance49_nreq50_nveh2_gamma44.txt,50,0.03,2936.86
/home/chris/Desktop/heuristics/instances/50/test/instance49_nreq50_nveh2_gamma44.txt,50,0.05,2714.31
/home/chris/Desktop/heuristics/instances/50/test/instance49_nreq50_nveh2_gamma44.txt,50,0.07,2325.07
/home/chris/Desktop/heuristics/instances/50/test/instance49_nreq50_nveh2_gamma44.txt,50,0.1,2317.09
/home/chris/Desktop/heuristics/instances/50/test/instance49_nreq50_nveh2_gamma44.txt,50,0.15,1992.84
