path,alpha,objective
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance39_nreq200_nveh4_gamma186.txt,0.7,28257.9
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance39_nreq200_nveh4_gamma186.txt,0.8,28236
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance39_nreq200_nveh4_gamma186.txt,0.9,27415.5
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance39_nreq200_nveh4_gamma186.txt,1,27069.9
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance37_nreq200_nveh4_gamma191.txt,0.1,29622.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance37_nreq200_nveh4_gamma191.txt,0.2,29470.8
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance37_nreq200_nveh4_gamma191.txt,0.3,30951.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance37_nreq200_nveh4_gamma191.txt,0.6,28800.8
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance37_nreq200_nveh4_gamma191.txt,0.7,30003.5
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance37_nreq200_nveh4_gamma191.txt,0.8,28124.2
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance37_nreq200_nveh4_gamma191.txt,0.9,28867.4
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance37_nreq200_nveh4_gamma191.txt,1,29110.2
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance36_nreq200_nveh4_gamma181.txt,0.1,27782.7
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance36_nreq200_nveh4_gamma181.txt,0.2,28260.8
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance36_nreq200_nveh4_gamma181.txt,0.3,27879.6
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance36_nreq200_nveh4_gamma181.txt,0.6,26376.5
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance36_nreq200_nveh4_gamma181.txt,0.7,26218.2
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance36_nreq200_nveh4_gamma181.txt,0.8,26059.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance36_nreq200_nveh4_gamma181.txt,0.9,25477.6
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance36_nreq200_nveh4_gamma181.txt,1,24659.3
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance31_nreq200_nveh4_gamma192.txt,0.1,29121.8
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance31_nreq200_nveh4_gamma192.txt,0.2,30287.5
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance31_nreq200_nveh4_gamma192.txt,0.3,29571.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance31_nreq200_nveh4_gamma192.txt,0.6,29576.4
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance31_nreq200_nveh4_gamma192.txt,0.7,29714.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance31_nreq200_nveh4_gamma192.txt,0.8,28999.3
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance31_nreq200_nveh4_gamma192.txt,0.9,29054.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance31_nreq200_nveh4_gamma192.txt,1,29198.3
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance40_nreq200_nveh4_gamma183.txt,0.1,26991.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance40_nreq200_nveh4_gamma183.txt,0.2,26803.8
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance40_nreq200_nveh4_gamma183.txt,0.3,27396.5
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance40_nreq200_nveh4_gamma183.txt,0.6,26389.2
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance40_nreq200_nveh4_gamma183.txt,0.7,26407.6
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance40_nreq200_nveh4_gamma183.txt,0.8,25265.3
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance40_nreq200_nveh4_gamma183.txt,0.9,25761.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance40_nreq200_nveh4_gamma183.txt,1,26164.4
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance32_nreq200_nveh4_gamma184.txt,0.1,28409.2
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance32_nreq200_nveh4_gamma184.txt,0.2,28548.7
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance32_nreq200_nveh4_gamma184.txt,0.3,28449.9
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance32_nreq200_nveh4_gamma184.txt,0.6,27779.5
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance32_nreq200_nveh4_gamma184.txt,0.7,27180.8
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance32_nreq200_nveh4_gamma184.txt,0.8,26551.4
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance32_nreq200_nveh4_gamma184.txt,0.9,27184.3
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance32_nreq200_nveh4_gamma184.txt,1,25771.3
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance53_nreq200_nveh4_gamma167.txt,0.1,24929.7
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance53_nreq200_nveh4_gamma167.txt,0.2,26244
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance53_nreq200_nveh4_gamma167.txt,0.3,24808.6
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance53_nreq200_nveh4_gamma167.txt,0.6,23550.4
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance53_nreq200_nveh4_gamma167.txt,0.7,24199.5
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance53_nreq200_nveh4_gamma167.txt,0.8,23887
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance53_nreq200_nveh4_gamma167.txt,0.9,23276.5
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance53_nreq200_nveh4_gamma167.txt,1,22681.9
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance54_nreq200_nveh4_gamma174.txt,0.1,25045
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance54_nreq200_nveh4_gamma174.txt,0.2,26220.7
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance54_nreq200_nveh4_gamma174.txt,0.3,26762.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance54_nreq200_nveh4_gamma174.txt,0.6,25420.7
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance54_nreq200_nveh4_gamma174.txt,0.7,24844.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance54_nreq200_nveh4_gamma174.txt,0.8,24636.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance54_nreq200_nveh4_gamma174.txt,0.9,24412.5
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance54_nreq200_nveh4_gamma174.txt,1,23991.3
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance38_nreq200_nveh4_gamma164.txt,0.1,25070.2
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance38_nreq200_nveh4_gamma164.txt,0.2,25785.7
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance38_nreq200_nveh4_gamma164.txt,0.3,26145.2
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance38_nreq200_nveh4_gamma164.txt,0.6,24332.8
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance38_nreq200_nveh4_gamma164.txt,0.7,23471.4
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance38_nreq200_nveh4_gamma164.txt,0.8,23606.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance38_nreq200_nveh4_gamma164.txt,0.9,23223.2
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance38_nreq200_nveh4_gamma164.txt,1,23462.9
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance60_nreq200_nveh4_gamma178.txt,0.1,26609.3
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance60_nreq200_nveh4_gamma178.txt,0.2,27894.7
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance60_nreq200_nveh4_gamma178.txt,0.3,28139.3
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance60_nreq200_nveh4_gamma178.txt,0.6,27041.9
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance60_nreq200_nveh4_gamma178.txt,0.7,25614.4
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance60_nreq200_nveh4_gamma178.txt,0.8,24672.7
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance60_nreq200_nveh4_gamma178.txt,0.9,26142.3
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance60_nreq200_nveh4_gamma178.txt,1,26379.6
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance45_nreq200_nveh4_gamma180.txt,0.1,26564.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance45_nreq200_nveh4_gamma180.txt,0.2,27193
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance45_nreq200_nveh4_gamma180.txt,0.3,27793.1
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance45_nreq200_nveh4_gamma180.txt,0.6,25937.6
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance45_nreq200_nveh4_gamma180.txt,0.7,26502.5
/home/chris/Desktop/heuristics/heuristics/instances/200/test/instance45_nreq200_nveh4_gamma180.txt,0.8,25817.8
