path,N,permutation,objective
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance37_nreq100_nveh2_gamma89.txt,100,12,2728.78
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance37_nreq100_nveh2_gamma89.txt,100,21,2557.62
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance37_nreq100_nveh2_gamma89.txt,100,102,2392.16
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance37_nreq100_nveh2_gamma89.txt,100,120,2316.85
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance37_nreq100_nveh2_gamma89.txt,100,201,2676.51
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance37_nreq100_nveh2_gamma89.txt,100,210,2467.14
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance31_nreq100_nveh2_gamma86.txt,100,12,2032.21
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance31_nreq100_nveh2_gamma86.txt,100,21,2124.33
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance31_nreq100_nveh2_gamma86.txt,100,102,2273.92
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance31_nreq100_nveh2_gamma86.txt,100,120,2084.51
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance31_nreq100_nveh2_gamma86.txt,100,201,2366.15
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance31_nreq100_nveh2_gamma86.txt,100,210,2407.39
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance44_nreq100_nveh2_gamma89.txt,100,12,2232.86
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance44_nreq100_nveh2_gamma89.txt,100,21,2183.86
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance44_nreq100_nveh2_gamma89.txt,100,102,2346.03
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance44_nreq100_nveh2_gamma89.txt,100,120,2181.86
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance44_nreq100_nveh2_gamma89.txt,100,201,2333.86
/home/christoforos.eseroglou/Desktop/heuristics/instances/100/test/instance44_nreq100_nveh2_gamma89.txt,100,210,3933.81
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance46_nreq200_nveh4_gamma178.txt,200,12,6413.61
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance46_nreq200_nveh4_gamma178.txt,200,21,6851.57
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance46_nreq200_nveh4_gamma178.txt,200,102,6033.57
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance46_nreq200_nveh4_gamma178.txt,200,120,6509.52
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance46_nreq200_nveh4_gamma178.txt,200,201,7089.87
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance46_nreq200_nveh4_gamma178.txt,200,210,6486.7
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance49_nreq200_nveh4_gamma187.txt,200,12,6564.55
/home/christoforos.eseroglou/Desktop/heuristics/instances/200/test/instance49_nreq200_nveh4_gamma187.txt,200,21,6811.71
