path,N,alpha,beam_width,objective
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.9,7,843.585
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,1,7,829.333
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.1,8,792.016
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.2,8,839.152
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.3,8,851.197
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.4,8,820.203
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.5,8,980.319
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.6,8,761.871
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.7,8,802.447
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.8,8,850.025
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.9,8,787.05
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,1,8,888.173
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.1,9,807.001
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.2,9,839.152
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.3,9,838.103
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.4,9,786.011
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.5,9,980.319
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.6,9,726.065
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.7,9,819.685
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.8,9,748.922
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.9,9,790.065
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,1,9,893.135
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.1,10,822.015
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.2,10,866.074
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.3,10,835.223
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.4,10,820.203
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.5,10,980.319
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.6,10,727.059
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.7,10,765.862
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.8,10,872.003
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,0.9,10,790.065
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance34_nreq50_nveh2_gamma47.txt,50,1,10,897.107
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.1,1,883.12
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.2,1,860.108
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.3,1,951.008
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.4,1,748.307
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.5,1,891.058
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.6,1,865.013
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.7,1,906.11
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.8,1,907.082
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.9,1,766.7
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,1,1,809.015
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.1,2,786.07
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.2,2,793.138
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.3,2,705.217
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.4,2,781.468
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.5,2,880.41
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.6,2,783.153
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.7,2,748.024
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.8,2,765.03
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.9,2,672.156
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,1,2,695.031
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.1,3,870.158
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.2,3,739.521
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.3,3,690.341
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.4,3,798.27
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.5,3,833.156
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.6,3,708.76
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.7,3,720.148
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.8,3,740
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.9,3,703.931
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,1,3,698.046
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.1,4,804.002
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.2,4,673.949
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.3,4,730.056
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.4,4,757.036
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.5,4,773.009
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.6,4,676.417
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.7,4,709.23
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.8,4,719.011
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.9,4,649.174
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,1,4,698.046
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.1,5,843.095
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.2,5,739.067
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.3,5,714.013
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.4,5,761.017
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.5,5,805.019
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.6,5,687.528
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.7,5,709.23
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.8,5,664.133
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.9,5,630.177
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,1,5,673.191
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.1,6,788.031
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.2,6,722.135
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.3,6,714.013
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.4,6,698.018
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.5,6,779.003
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.6,6,687.528
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.7,6,739.478
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.8,6,743
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.9,6,631.07
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,1,6,705.024
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.1,7,738.129
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.2,7,685.016
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.3,7,700
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.4,7,742.012
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.5,7,766.023
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.6,7,687.528
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.7,7,746.326
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.8,7,709.072
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.9,7,622.124
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,1,7,698.046
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.1,8,792.002
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.2,8,654.165
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.3,8,700
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.4,8,688.22
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.5,8,719.288
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.6,8,687.528
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.7,8,703.757
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.8,8,738.002
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.9,8,640.117
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,1,8,673.191
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance48_nreq50_nveh2_gamma42.txt,50,0.1,9,792.002
