path,N,T,iters,alpha,objective
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance58_nreq50_nveh2_gamma45.txt,50,100,100,0.95,975.982
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance58_nreq50_nveh2_gamma45.txt,50,100,100,0.97,1025.14
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance58_nreq50_nveh2_gamma45.txt,50,100,100,0.99,1031.16
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance52_nreq50_nveh2_gamma44.txt,50,10,100,0.95,1101.35
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance52_nreq50_nveh2_gamma44.txt,50,10,100,0.97,1116.44
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance52_nreq50_nveh2_gamma44.txt,50,10,100,0.99,1065.14
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance52_nreq50_nveh2_gamma44.txt,50,50,100,0.95,1162.19
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance52_nreq50_nveh2_gamma44.txt,50,50,100,0.97,1093.31
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance52_nreq50_nveh2_gamma44.txt,50,50,100,0.99,1098.33
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance52_nreq50_nveh2_gamma44.txt,50,100,100,0.95,1075.67
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance52_nreq50_nveh2_gamma44.txt,50,100,100,0.97,1068.16
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance52_nreq50_nveh2_gamma44.txt,50,100,100,0.99,1082.72
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance45_nreq50_nveh2_gamma42.txt,50,10,100,0.95,979.388
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance45_nreq50_nveh2_gamma42.txt,50,10,100,0.97,959.347
/home/christoforos.eseroglou/Desktop/heuristics/instances/50/test/instance45_nreq50_nveh2_gamma42.txt,50,10,100,0.99,949.326
